"id_commune","id_service","competence","id_service_gn"
"57077","3003226","0","3003226"
"57079","3003216","0","3003216"
"57080","3003250","0","3003250"
"57081","3003225","0","3003225"
"57082","3003234","0","3003234"
"57083","3003258","0","3003258"
"57084","3003222","0","3003222"
"57085","3003218","0","3003218"
"57086","3003247","0","3003247"
"57087","3003217","0","3003217"
"57088","3003234","0","3003234"
"57089","3003255","0","3003255"
"57090","3003225","0","3003225"
"57091","3003254","0","3003254"
"57092","3003254","0","3003254"
"57093","3003254","0","3003254"
"57095","3003218","0","3003218"
"57096","3003266","0","3003266"
"57097","3003215","0","3003215"
"57098","3003225","0","3003225"
"57099","3003226","0","3003226"
"57100","3003250","0","3003250"
"57101","3003231","0","3003231"
"57102","3003269","0","3003269"
"57103","3003259","0","3003259"
"57104","3000501","0","3000501"
"57105","3003237","0","3003237"
"57106","3003216","0","3003216"
"57107","3003224","0","3003224"
"57108","3003259","0","3003259"
"57109","3000501","0","3000501"
"57110","3003216","0","3003216"
"57111","3003206","0","3003206"
"57112","3003218","0","3003218"
"57113","3003245","0","3003245"
"57114","3003250","0","3003250"
"57115","3003237","0","3003237"
"57116","3003210","0","3003210"
"57117","3003272","0","3003272"
"57118","3003272","0","3003272"
"57119","70423","1","3003245"
"57120","3003222","0","3003222"
"57121","3080252","0","3080252"
"57122","3003232","0","3003232"
"57123","3003217","0","3003217"
"57124","3000501","0","3000501"
"57125","3080252","0","3080252"
"57126","3003222","0","3003222"
"57127","3003208","0","3003208"
"57128","3080252","0","3080252"
"57129","3080252","0","3080252"
"57130","3003224","0","3003224"
"57131","3003216","0","3003216"
"57132","3003222","0","3003222"
"57133","3003222","0","3003222"
"57134","3003202","0","3003202"
"57136","3003216","0","3003216"
"57137","3003210","0","3003210"
"57138","3003224","0","3003224"
"57139","3003210","0","3003210"
"57140","3003210","0","3003210"
"57141","3003224","0","3003224"
"57142","3080252","0","3080252"
"57143","70494","1","3003267"
"57144","3003232","0","3003232"
"57145","3003204","0","3003204"
"57146","3003210","0","3003210"
"57147","3003210","0","3003210"
"57148","3003204","0","3003204"
"57149","3003216","0","3003216"
"57150","3003215","0","3003215"
"57151","3003222","0","3003222"
"57152","3058025","0","3058025"
"57153","3003203","0","3003203"
"57154","3003215","0","3003215"
"57155","3003204","0","3003204"
