"commune_code_insee","unite_cu"
"02274","415"
"02275","452"
"02276","450"
"02277","444"
"02278","452"
"02279","419"
"02280","419"
"02281","420"
"02282","415"
"02283","412"
"02284","450"
"02286","453"
"02287","433"
"02288","432"
"02289","420"
"02290","419"
"02291","431"
"02292","419"
"02293","432"
"02294","404"
"02295","450"
"02296","436"
"02297","419"
"02298","455"
"02299","27450"
"02302","445"
"02303","429"
"02304","10200897"
"02305","422"
"02306","434"
"02307","423"
"02308","453"
"02309","415"
"02310","432"
"02311","443"
"02312","450"
"02313","451"
"02315","435"
"02316","445"
"02317","436"
"02318","408"
"02319","432"
"02320","429"
"02321","448"
"02322","432"
"02323","432"
"02324","450"
"02326","444"
"02327","436"
"02328","419"
"02329","410"
"02330","429"
"02331","454"
"02332","422"
"02333","408"
"02334","432"
"02335","410"
"02336","406"
"02337","450"
"02338","412"
"02339","423"
"02340","10200904"
"02341","448"
"02342","450"
"02343","436"
"02345","433"
"02346","415"
"02347","419"
"02349","407"
"02350","415"
"02351","422"
"02352","431"
"02353","412"
"02354","413"
"02355","429"
"02356","442"
"02357","448"
"02358","455"
"02359","429"
"02360","27450"
"02361","451"
"02362","406"
"02363","408"
"02364","27450"
"02366","455"
"02367","435"
"02368","445"
"02369","448"
"02370","431"
"02371","10200904"
"02372","442"
"02373","448"
"02374","431"
"02375","423"
"02376","451"
"02377","448"
"02378","452"
"02379","454"
"02380","433"
"02381","452"
"02382","429"
"02383","429"
"02384","448"
"02385","454"
"02386","451"
"02387","433"
"02388","452"
"02389","421"
"02390","436"
"02391","452"
"02392","431"
"02393","441"
"02395","408"
"02396","407"
"02397","435"
"02398","440"
"02399","27450"
"02400","440"
"02401","448"
"02402","436"
"02403","454"
"02404","448"
"02405","452"
"02406","408"
"02407","405"
"02408","10200898"
"02409","415"
"02410","445"
"02411","442"
"02412","442"
"02413","405"
"02414","451"
"02415","444"
"02416","454"
"02417","431"
"02418","450"
"02419","453"
"02420","429"
"02421","441"
"02422","451"
"02423","408"
"02424","440"
"02425","452"
"02426","432"
"02427","441"
"02428","423"
"02429","404"
"02430","415"
"02431","410"
"02432","441"
"02433","413"
"02435","452"
"02438","445"
"02439","441"
"02440","415"
"02441","445"
"02442","422"
"02443","420"
"02444","448"
"02445","450"
"02446","433"
