id;version;niveau;libelle;validite
00324;20230913;1;fmc;O
00325;20230913;1;fmr;O
00326;20230913;1;follis;O
00327;20230913;1;ford;O
00328;20230913;1;fortschritt erntemasch.;O
00329;20230913;1;franc;O
00330;20230913;1;france confo;O
00331;20230913;1;francocean;O
00332;20230913;1;francolam;O
00333;20230913;1;frankia;O
00334;20230913;1;franzen;O
00335;20230913;1;frejat;O
00336;20230913;1;frigetal;O
00337;20230913;1;frisch;O
00338;20230913;1;fromm;O
00339;20230913;1;fruehauf;O
00340;20230913;1;fsm;O
00341;20230913;1;fso;O
00342;20230913;1;fuji heavy;O
00343;20230913;1;fuldamobil;O
00344;20230913;1;furukawa;O
00345;20230913;1;fwd;O
00346;20230913;1;fyra pe;O
01132;20230913;1;fautras;O
01186;20230913;1;fym;O
01258;20230913;1;fisker;O
00347;20230913;1;gallot;O
00348;20230913;1;garelli;O
00349;20230913;1;gas gas;O
00350;20230913;1;gassmann;O
00351;20230913;1;gateau;O
00352;20230913;1;gaubert;O
00353;20230913;1;gaupp;O
00354;20230913;1;gay;O
00355;20230913;1;gehl;O
00356;20230913;1;gelera;O
00357;20230913;1;generic moto;O
00358;20230913;1;georg;O
00359;20230913;1;george;O
00360;20230913;1;georges et j;O
00361;20230913;1;geurget;O
00362;20230913;1;ghia;O
00363;20230913;1;giant;O
00364;20230913;1;giantco;O
00365;20230913;1;gilera;O
00366;20230913;1;gilhaus;O
00367;20230913;1;gilibert;O
00368;20230913;1;gillet;O
00369;20230913;1;gima;O
00370;20230913;1;gitane;O
00371;20230913;1;glas;O
00372;20230913;1;gm;O
00373;20230913;1;gmc;O
00374;20230913;1;gme;O
00375;20230913;1;gnome et rho;O
00376;20230913;1;gode;O
00377;20230913;1;goebel;O
00378;20230913;1;goericke;O
00379;20230913;1;gofa;O
00380;20230913;1;goldoni;O
00381;20230913;1;goliath;O
01127;20230913;1;go sport;O
00382;20230913;1;gourdon;O
00383;20230913;1;grandin;O
00384;20230913;1;grecav;O
00385;20230913;1;greenland;O
00386;20230913;1;grove;O
00387;20230913;1;gruau;O
00388;20230913;1;gueldner;O
00389;20230913;1;gugel;O
00390;20230913;1;gutbrod;O
00391;20230913;1;guzzi;O
00392;20230913;1;gyro;O
00393;20230913;1;haegglund;O
00394;20230913;1;hahn;O
00395;20230913;1;hako;O
00396;20230913;1;hanlerd;O
00397;20230913;1;hanomag;O
00398;20230913;1;hansa;O
00399;20230913;1;harbeck;O
00400;20230913;1;hardy;O
00401;20230913;1;harley;O
00402;20230913;1;harley davidson;O
00403;20230913;1;hartford;O
